Date,Time,Open,High,Low,Close,Volume
2024-12-04,08:30:00,242.87,243.77,242.82,243.08,8036.47
2024-12-04,08:31:00,243.08,243.14,242.64,243.08,2132.95
2024-12-04,08:32:00,243.11,243.14,242.52,242.54,1123.66
2024-12-04,08:33:00,242.58,243.06,242.51,242.88,1207.03
2024-12-04,08:34:00,242.93,243.16,242.77,243.06,983.49
2024-12-04,08:35:00,243.04,243.35,242.96,243.13,948.73
2024-12-04,08:36:00,243.21,243.25,242.91,242.93,933.96
2024-12-04,08:37:00,242.94,242.99,242.67,242.72,1084.83
2024-12-04,08:38:00,242.73,243.16,242.72,243.11,887.85
2024-12-04,08:39:00,243.11,243.33,243.07,243.07,1018.77
2024-12-04,08:40:00,243.08,243.16,242.87,242.89,678.83
2024-12-04,08:41:00,242.89,243.01,242.85,242.89,675.15
2024-12-04,08:42:00,242.91,242.99,242.86,242.91,552.53
2024-12-04,08:43:00,242.92,242.98,242.85,242.91,655.37
2024-12-04,08:44:00,242.92,243.17,242.85,243.02,838.29
2024-12-04,08:45:00,243.03,243.29,243.01,243.06,1181.76
2024-12-04,08:46:00,243.09,243.2,243.03,243.2,556.14
2024-12-04,08:47:00,243.19,243.3,243.12,243.21,814.97
2024-12-04,08:48:00,243.22,243.28,243.02,243.15,841.72
2024-12-04,08:49:00,243.16,243.41,243.15,243.4,956.11
2024-12-04,08:50:00,243.4,243.44,243.29,243.41,915.66
2024-12-04,08:51:00,243.41,243.42,243.23,243.33,658.17
2024-12-04,08:52:00,243.33,243.49,243.3,243.44,730.1
2024-12-04,08:53:00,243.44,243.45,243.34,243.43,679.46
2024-12-04,08:54:00,243.43,243.57,243.42,243.56,775.64
2024-12-04,08:55:00,243.56,243.75,243.53,243.74,1071.08
2024-12-04,08:56:00,243.73,243.88,243.66,243.69,1015.12
2024-12-04,08:57:00,243.69,243.71,243.58,243.61,556.04
2024-12-04,08:58:00,243.61,243.63,243.35,243.43,1148.65
2024-12-04,08:59:00,243.42,243.62,243.37,243.56,1002.96
2024-12-04,09:00:00,243.54,243.56,243.25,243.33,917.06
2024-12-04,09:01:00,243.33,243.54,243.32,243.49,590.14
2024-12-04,09:02:00,243.49,243.49,243.33,243.37,567.58
2024-12-04,09:03:00,243.37,243.41,243.15,243.22,865.94
2024-12-04,09:04:00,243.23,243.37,243.21,243.32,759.71
2024-12-04,09:05:00,243.33,243.55,243.28,243.5,876.3
2024-12-04,09:06:00,243.5,243.57,243.41,243.57,781.22
2024-12-04,09:07:00,243.58,244.11,243.57,244.06,3782.69
2024-12-04,09:08:00,244.06,244.08,243.83,243.87,1494.41
2024-12-04,09:09:00,243.87,244.0,243.78,243.86,1337.28
2024-12-04,09:10:00,243.86,244.11,243.75,243.81,951.54
2024-12-04,09:11:00,243.81,243.92,243.76,243.84,651.33
2024-12-04,09:12:00,243.84,243.86,243.59,243.73,1137.71
2024-12-04,09:13:00,243.73,243.74,243.58,243.6,562.19
2024-12-04,09:14:00,243.6,243.7,243.51,243.55,666.71
2024-12-04,09:15:00,243.57,243.64,243.43,243.49,575.24
2024-12-04,09:16:00,243.49,243.49,243.27,243.27,766.08
2024-12-04,09:17:00,243.28,243.45,243.22,243.45,1166.03
2024-12-04,09:18:00,243.44,243.46,243.3,243.36,856.23
2024-12-04,09:19:00,243.37,243.64,243.32,243.64,1008.76
2024-12-04,09:20:00,243.64,243.67,243.51,243.63,567.79
2024-12-04,09:21:00,243.62,243.62,243.42,243.42,468.37
2024-12-04,09:22:00,243.44,243.52,243.35,243.47,422.37
2024-12-04,09:23:00,243.47,243.48,243.35,243.45,875.76
2024-12-04,09:24:00,243.43,243.43,243.24,243.32,692.22
2024-12-04,09:25:00,243.33,243.38,243.26,243.32,743.06
